run_id,config,scenario,iter,variant,tp,fp,fn,tn,precision,recall,f1,fpr,n_windows,n_flagged,n_events
2026-05-18T185924-single-plc-replay-i3,single-plc,replay,3,lof_multi,1,1,6,32,0.5,0.1429,0.2222,0.0303,34,2,7
2026-05-18T190251-single-plc-replay-i4,single-plc,replay,4,iforest_multi,2,8,5,24,0.2,0.2857,0.2353,0.25,34,10,7
2026-05-18T190251-single-plc-replay-i4,single-plc,replay,4,iforest_latency,1,8,6,25,0.1111,0.1429,0.125,0.2424,34,9,7
2026-05-18T190251-single-plc-replay-i4,single-plc,replay,4,iforest_availability,0,0,7,34,0.0,0.0,0.0,0.0,34,0,7
2026-05-18T190251-single-plc-replay-i4,single-plc,replay,4,iforest_integrity,1,1,6,32,0.5,0.1429,0.2222,0.0303,34,2,7
2026-05-18T190251-single-plc-replay-i4,single-plc,replay,4,iforest_malformed,0,0,7,34,0.0,0.0,0.0,0.0,34,0,7
2026-05-18T190251-single-plc-replay-i4,single-plc,replay,4,lof_multi,1,1,6,32,0.5,0.1429,0.2222,0.0303,34,2,7
2026-05-18T190619-single-plc-replay-i5,single-plc,replay,5,iforest_multi,2,7,5,25,0.2222,0.2857,0.25,0.2188,34,9,7
2026-05-18T190619-single-plc-replay-i5,single-plc,replay,5,iforest_latency,1,6,6,27,0.1429,0.1429,0.1429,0.1818,34,7,7
2026-05-18T190619-single-plc-replay-i5,single-plc,replay,5,iforest_availability,0,0,7,34,0.0,0.0,0.0,0.0,34,0,7
2026-05-18T190619-single-plc-replay-i5,single-plc,replay,5,iforest_integrity,1,1,6,32,0.5,0.1429,0.2222,0.0303,34,2,7
2026-05-18T190619-single-plc-replay-i5,single-plc,replay,5,iforest_malformed,0,0,7,34,0.0,0.0,0.0,0.0,34,0,7
2026-05-18T190619-single-plc-replay-i5,single-plc,replay,5,lof_multi,1,1,6,32,0.5,0.1429,0.2222,0.0303,34,2,7
2026-05-18T190947-single-plc-replay-i6,single-plc,replay,6,iforest_multi,2,7,5,25,0.2222,0.2857,0.25,0.2188,34,9,7
2026-05-18T190947-single-plc-replay-i6,single-plc,replay,6,iforest_latency,2,7,5,25,0.2222,0.2857,0.25,0.2188,34,9,7
2026-05-18T190947-single-plc-replay-i6,single-plc,replay,6,iforest_availability,0,0,7,34,0.0,0.0,0.0,0.0,34,0,7
2026-05-18T190947-single-plc-replay-i6,single-plc,replay,6,iforest_integrity,1,1,6,32,0.5,0.1429,0.2222,0.0303,34,2,7
2026-05-18T190947-single-plc-replay-i6,single-plc,replay,6,iforest_malformed,0,0,7,34,0.0,0.0,0.0,0.0,34,0,7
2026-05-18T190947-single-plc-replay-i6,single-plc,replay,6,lof_multi,1,1,6,32,0.5,0.1429,0.2222,0.0303,34,2,7
2026-05-18T191314-single-plc-replay-i7,single-plc,replay,7,iforest_multi,2,8,5,24,0.2,0.2857,0.2353,0.25,34,10,7
2026-05-18T191314-single-plc-replay-i7,single-plc,replay,7,iforest_latency,2,8,5,24,0.2,0.2857,0.2353,0.25,34,10,7
2026-05-18T191314-single-plc-replay-i7,single-plc,replay,7,iforest_availability,0,0,7,34,0.0,0.0,0.0,0.0,34,0,7
2026-05-18T191314-single-plc-replay-i7,single-plc,replay,7,iforest_integrity,1,1,6,32,0.5,0.1429,0.2222,0.0303,34,2,7
2026-05-18T191314-single-plc-replay-i7,single-plc,replay,7,iforest_malformed,0,0,7,34,0.0,0.0,0.0,0.0,34,0,7
2026-05-18T191314-single-plc-replay-i7,single-plc,replay,7,lof_multi,1,1,6,32,0.5,0.1429,0.2222,0.0303,34,2,7
2026-05-18T191643-single-plc-replay-i8,single-plc,replay,8,iforest_multi,2,7,5,24,0.2222,0.2857,0.25,0.2258,33,9,7
2026-05-18T191643-single-plc-replay-i8,single-plc,replay,8,iforest_latency,1,6,6,26,0.1429,0.1429,0.1429,0.1875,33,7,7
2026-05-18T191643-single-plc-replay-i8,single-plc,replay,8,iforest_availability,0,0,7,33,0.0,0.0,0.0,0.0,33,0,7
2026-05-18T191643-single-plc-replay-i8,single-plc,replay,8,iforest_integrity,1,1,6,31,0.5,0.1429,0.2222,0.0312,33,2,7
2026-05-18T191643-single-plc-replay-i8,single-plc,replay,8,iforest_malformed,0,0,7,33,0.0,0.0,0.0,0.0,33,0,7
2026-05-18T191643-single-plc-replay-i8,single-plc,replay,8,lof_multi,1,0,6,32,1.0,0.1429,0.25,0.0,33,1,7
2026-05-18T192010-single-plc-replay-i9,single-plc,replay,9,iforest_multi,2,7,5,24,0.2222,0.2857,0.25,0.2258,33,9,7
2026-05-18T192010-single-plc-replay-i9,single-plc,replay,9,iforest_latency,3,7,4,23,0.3,0.4286,0.3529,0.2333,33,10,7
2026-05-18T192010-single-plc-replay-i9,single-plc,replay,9,iforest_availability,0,0,7,33,0.0,0.0,0.0,0.0,33,0,7
2026-05-18T192010-single-plc-replay-i9,single-plc,replay,9,iforest_integrity,1,1,6,31,0.5,0.1429,0.2222,0.0312,33,2,7
2026-05-18T192010-single-plc-replay-i9,single-plc,replay,9,iforest_malformed,0,0,7,33,0.0,0.0,0.0,0.0,33,0,7
2026-05-18T192010-single-plc-replay-i9,single-plc,replay,9,lof_multi,1,0,6,32,1.0,0.1429,0.25,0.0,33,1,7
2026-05-18T192338-single-plc-replay-i10,single-plc,replay,10,iforest_multi,2,7,5,24,0.2222,0.2857,0.25,0.2258,33,9,7
2026-05-18T192338-single-plc-replay-i10,single-plc,replay,10,iforest_latency,1,6,6,26,0.1429,0.1429,0.1429,0.1875,33,7,7
2026-05-18T192338-single-plc-replay-i10,single-plc,replay,10,iforest_availability,0,0,7,33,0.0,0.0,0.0,0.0,33,0,7
2026-05-18T192338-single-plc-replay-i10,single-plc,replay,10,iforest_integrity,1,1,6,31,0.5,0.1429,0.2222,0.0312,33,2,7
2026-05-18T192338-single-plc-replay-i10,single-plc,replay,10,iforest_malformed,0,0,7,33,0.0,0.0,0.0,0.0,33,0,7
2026-05-18T192338-single-plc-replay-i10,single-plc,replay,10,lof_multi,1,0,6,32,1.0,0.1429,0.25,0.0,33,1,7
